,class_name,class_description,word_count_class_name,class_name_cleaned,label,additional_labels
10,Beginner’s Yoga,"Whether you’re looking to learn the basics, or are a seasoned yogi seeking a refresher, welcome to Daya! Practice the foundation of all poses, link your movement with breath, and discover proper alignment to receive the full benefits of a healthy yoga practice. Open to all levels!",2,beginner s yoga,foundations,['yoga']
11,Yoga Fundamentals,"Yoga Fundamentals will break down some of the most common postures (asanas) and remind us how to correctly embody them while understanding benefits of the posture.
",2,yoga fundamentals,yoga,['foundations']
12,Basics class,This class will explore the foundational building blocks of yoga postures. We will move at a slower and more methodical pace than in our all-levels classes. Great for beginners!,2,basics class,foundations,[]
13,FUNDAMENTALS OF YOGA,"A yoga 101 workshop style course geared for students new to yoga, but all levels are welcome to these classes, which focus on the fundamentals of yoga asana. The course is divided into 4 sections: week 1 standing asanas, week 2 forward fold asanas, week 3 back bending asanas, and week 4 putting it together.  Over a 4-week period the student will learn to pay special attention to yoga asana alignment, the use of yoga props and helpful tips according to the Urban Sadhu Yoga Method. These are the tools that will form a solid yoga practice for students through their entire lives!!",3,fundamentals of yoga,foundations,['yoga']
14,Yoga Foundations,"Learn what all the hype is about! This class is devoted to the newcomer who wants to build their practice from the ground up. Students will explore breath practices, standing sequences, seated poses, and an introduction to backbends. This class is ideal for those who are new to yoga or for anyone who wants to brush up on the basics.",2,yoga foundations,yoga,['foundations']
15,Foundations,"No previous experience is necessary for this lovely class that exposes new and experienced yogis alike to the beauty that is yoga. This basic, foundational class focusses on breath, postures, and alignment. Appropriate for those looking to dip their toes into yoga for the first time, as well as those with experience who are looking to deepen their practice by going back to the basics. You can’t go wrong no matter where you are on your yoga journey.",1,foundations,foundations,[]
16,FOUNDATION HUM,"Discover the fundamentals and learn within a supportive environment.
This practice will provide a well-rounded offering that is both educational and exploratory. Offering fundamental instruction, the teacher will lead students through rudimentary sequences, breath-work and meditation techniques that allow for curious practice. Expect posture breakdowns and explanation of accompanying movement. No prior yoga experience is required. Beginners welcome. 
All classes are guided alongside our curated “Hum”, a soundscape designed to enhance focus, and will conclude with a soothing sound bath. Heated at 80 degrees.",2,foundation hum,foundations,[]
17,Absolute Beginners,Our semi-private or small group series with master teacher Gina is absolutely great for beginners or wanting to go revisit the fundamentals.,2,absolute beginners,foundations,[]
18,BEGINNERS YOGA,"This class is specially designed for those entirely new to yoga, the perfect class to introduce you to yoga, come and join us! Open to all levels.

Tune-up Chaturangas, align your Warriors or just get your breath flowing right.",2,beginners yoga,foundations,['yoga']
19,Bikram yoga,"Bikram yoga is a 26 posture series with two breathing exercises performed inside a 105-degree room with 40% humidity. Bikram yoga may sound intimidating- don’t let that stop you from getting down to it! The postures are specifically designed for beginners and people of different shapes and sizes! It is a great class for everyone who wants to lose weight and at the same time gain muscle strength and increase bone density. The overwhelming heat and humidity completely submerges you into mental stillness, leaving you feeling calm, steady, and optimistic after class. Bikram yoga is highly recommended for people with back, neck, and shoulder pain, knee injuries, and other health issues. As you observe the people who come to a typical Bikram class, you will see people who have been practicing for a few months and people who have been practicing for a few decades. A consistent Bikram practice has the power for individuals to learn discipline, resilience, and patience. So let’s get sweaty!",2,bikram yoga,hot yoga / bikram,['yoga']
20,Bikram Beats,"Bikram Beats is the usual 26 postures and two breathing exercises, but instead of the traditional dialog, it is accompanied by chill beats that will tune you into each pose. Rather than verbal instruction, the class is formatted by following the teacher’s lead; the teacher only cues you in and out of the postures. This is not your standard Bikram Yoga class, as you get a chance to practice side-by-side with an experienced teacher and listen to some groovy tunes! From Rock n’ Roll, cross-cultural genres, house, and classical music, our diverse yoga mixtape is catered to every individual’s taste in music. Due to limited instruction, the class is only recommended for people familiar with the sequence- but beginners are never turned away!",2,bikram beat,hot yoga / bikram,[]
21,Bikram Yoga,"People come to Bikram Hot Yoga classes for more than just fitness. Bikram Yoga offers health, wellness, restoration and relaxation. Expect to sweat a lot and love the results of this practice! Sign up for Bikram Yoga classes at One Yoga NYC Studio. Our experienced teachers will guide you through the physical and mindfulness aspects of this invigorating practice.
What Is Bikram Yoga?
This practice is named after its founder, Bikram Chowdhury, who has practiced yoga since childhood in India. While recovering from a serious injury, he noticed that doing yoga in a heated room amplified the results of the practice. After moving to the US, Bikram Choudhury opened his own school, which quickly gained popularity and many followers around the world.
Features
Bikram Yoga (also called ORIGINAL HOT YOGA) is practiced in a hot room, heated to 105° F with 40% humidity. The 90-minute practice consists of 26 asanas and 2 breathing exercises, allowing you to work every muscle, tendon, ligament, joint and internal organ in the entire body.
Bikram Yoga is suitable for both experienced yogis and beginners of any age. For classes you will need a mat, comfortable sportswear that does not restrict movement, and a couple of towels.
Benefits
Bikram Hot Yoga transforms your mind and body. Here are some of the potential benefits:
weight loss – expect to burn 500-1000 calories per class
increased strength and flexibility
increased immunity
cleansing from toxins
strengthening cardiovascular system
relieving stress and anxiety
Everyone can enjoy this challenging practice, as long as you listen to your body!",2,bikram yoga,hot yoga / bikram,['yoga']
22,Hypno-Breathwork,"Hypno-Breathwork is a method used to clear energetic patterns through traditional breathwork, hypnotic affirmations to reprogram subconscious beliefs, and stimulating new neural pathways for to promote sustainable behavioral change. In applying ourselves to this practice we transform our bodies hearts and minds - In each class we will work through different blockages as a means to gain clarity, access inner wisdom, tap into our creativity and take soul-aligned actions to bring our greater visions to life.
Avoid heavy eating at least one hour before class, and bring a pen and paper/notebook for better integration into the session. Eye-coverage is encouraged, though optional.",1,hypno breathwork,breathwork / pranayama,[]
23,Breathwork,"BREATHWORK IS SAID TO BE THE FOUNDATION OF
TRUE PROGRESS IN THE MIND-BODY PRACTICE,
AFFECTING EVERY ASPECT OF OUR BEING.
Our unique system of breathing postures can add transformative power and depth to your mind-body practice by helping you learn to accumulate energy.
BENEFITS OF BREATHWORK
Breathwork is an essential element of all Body & Brain classes. By managing your breath, you can accumulate energy, stimulate your body's natural ability to restore and recharge, and increase your powers of concentration and awareness. The benefits of breathwork will extend beyond the classroom to help improve your day and even how you sleep at night.
BREATHWORK WILL ENHANCE
YOUR MIND-BODY PRACTICE
1 Improving your digestion.
2 Helping to balance your emotions and thinking.
3 Feeling more comfortable and relaxed.
4 Increasing your endurance, flexibility and strength.
5 Developing your core energy.",1,breathwork,breathwork,[]
24,Release Breathwork,"Experience a unique healing journey combining powerful entheogenic breathing techniques with biodynamic movement and lively music.
This integrated breathwork practice combines multiple traditions of breath awareness (pranayama, teomania, holotropic, Wim Hof), with deep intention work to use the power of your breath and awareness to shift into altered, or psychedelic states of consciousness. 
Our practice will oxygenate the body and activate different areas of the brain to clear suppressed emotions, move through stagnant energy, and influence creative productivity. This breathwork journey brings attention and intention to our innate creative energy helping us to relax the body, remember our power, and revive our personal potential.",2,release breathwork,breathwork / pranayama,[]
25,Breathwork,"Designed for biohackers and those exploring alternative states of consciousness, this breathwork class will take you on a journey of self-discovery, tapping into the deepest parts of yourself and accessing a higher state of consciousness using a powerful combination of ancient shamanic wisdom and cutting-edge breathing techniques.

In this dynamic class, you will learn to use your breath as a tool for biohacking and optimizing your physical and mental performance. By increasing your oxygen intake and activating your body's natural healing processes, you will experience improved circulation, enhanced mental clarity, and a boost to your immune system.

But this class is not just about physical optimization. Through the use of shamanic rhythms and psychedelic soundscapes, you will also explore alternative states of consciousness, accessing the wisdom of the ancestral spirits and connecting with the natural world in a profound and meaningful way.

This class is perfect for anyone seeking to push their limits and explore the edges of human potential. Whether you're a biohacker looking for cutting-edge tools to optimize your health and performance, or someone interested in exploring altered states of consciousness, we will guide you on an unforgettable journey of self-discovery and transformation.

So come prepared to push your limits, explore the depths of your being, and unlock the full potential of your mind and body in this breathwork journey.",1,breathwork,breathwork,[]
26,Deep Stretch Yoga & Breathwork,"Deep Stretch Yoga & Breathwork focuses predominantly on stretching and releasing tight muscles and tendons, in order to take strain off of the skeletal system. Supporting the practice, breathwork serves to provide mind awareness and serenity. ",5,deep stretch yoga breathwork,yoga,['breathwork / pranayama']
27,OUTDOOR COMMUNITY YOGA CLASSES IN CENTRAL PARK,"Join your neighbors to find some stillness in the city that is always bustling. Find your breath. Flow. Feel your feet on the Earth and connect to your inner child. Feel the warmth on your cheeks and connect to the sun’s life giving energy. By focusing on the body, breath and mind, we create a connection to ourselves - By doing this outdoors, we create a connection to the Earth - By doing this with our neighbors, we create a connection to one another. ",7,outdoor community yoga class in central park,yoga,[]
28,COMMUNITY CLASS- LEVEL 1,"Community Class is the perfect chance to practice in a non-competitive, open environment while supporting our new teachers that have just graduated from 200 Teacher Training.Please come with an open heart and an open mind and be aware class is taught by very NEW teachers to the craft. Class is by FREE. If you choose, you may offer a donation. Donations go to AYF, Abhaya Yoga Foundation, serving yoga education and service to expand the reach of yoga and teacher training to a more diverse community",4,community class level 1,undefined,[]
29,"
Daya Dance","Daya Dance is a space to greet your body and explore its pathways. Through awareness exercises, guided movement, contact improvisation, and elements of yoga, students will be encouraged to experiment and ultimately find joy in their groove! Open to all levels.",2,daya dance,dance,[]
30,SEER Dance (women only),"SEER Dance (Sacred Earth Embodied Ritual Dance) is a form based on the sacred roots of Belly Dance, inspired by nature’s elements (earth, water, air and fire) and interwoven with energies, journeying, storytelling, and embodied prayer.
Every class includes a gentle warm up, some technique learning a few core movements within the roots of belly and classical Indian dance, an introduction to four Indian Goddesses and their archetypal qualities, creating our own dance phrases, and a final integrated circle.
During this series we will welcome the archetypal teachings of Parvati, Durga, Saraswati and Lakshmi.
This is a healing and spiritual dance form aimed to bring our body, mind, heart and soul into union - to slow down and connect with our inner world - to tap into our different qualities and unearth our unique essence -  to support and inspire each other with strength, love and compassion.",4,seer dance women only,dance,[]
31,Dance Yoga,"MDRNYGA is a dynamic vinyasa class set to an eclectic playlist of alternative rhythmic scores, R&B, rock and folk. This class bridges dancey yoga sequences with mind-body modalities and conditioning. All of the sequences are choreographed and clearly guided similar to a yoga class but with the personality of a dance class. Dancer or not, yogi or not, this is not a traditional dance or yoga class. It is for the athletic and artful minded individual that is looking to creatively expand their practice. This class will open up ones approach to transitions, musicality and flow. This is a matless class. Annie is a Yoga Alliance certified instructor who received her 500 hr training with Nubia Teixeira. She is a performer and master teacher with a deep roots in dance improvisation and technique and somatic methods. Annie founded of the performing arts center, RoCo Dance in 1993 which is located in the Bay Area, California",2,dance yoga,dance,['yoga']
32,Dharma Yoga,"Created by Sri Dharma Mittra, this style of yoga includes a flowing vinyasa sequence, followed by inversions and other asanas that are held longer to improve focus and concentration. Deep relaxation, breathing and meditation exercises create a well-rounded, spiritual practice rooted in the classical Eight Limbs of Yoga.",2,dharma yoga,dharma,['yoga']
33,Dharma Yoga Wheel,"When your spine is strong and flexible, you can’t help but feel young and radiant! In this all-levels class, learn how to incorporate the yoga wheel, a revolutionary prop created by Sri Dharma Mittra, into your asana practice. Deepen your backbends, strengthen your core, and release tightness in your shoulders and hips.",3,dharma yoga wheel,dharma,['yoga']
34,Dharma,"According to Buddhism, every single mind has the innate potential to achieve freedom. We offer 18 donation-based Buddhist courses, from the Asian Classics Institute, that covers the high level teachings of a monastic education in the sutra or open teachings of Tibetan Buddhism.",1,dharma,dharma,[]
35,ALIGN + FLOW-LEVEL 1,"Align your body, mind, and soul! Apply alignment principles to physical postures and integrate a variety of therapeutic exercises and breathing techniques. Once alignment is practiced, students will be lead through a creative vinyasa flow. The perfect blend of alignment and flow to strengthen and open the body.
 
Level 1
All levels welcome. Modifications will be given. Open to the new/mid level practitioners looking for a full spectrum yoga class. Moves at a gentle pace for all levels. Appropriate for beginners, prenatal, and those with ongoing therapeutic issues.",4,align flow level 1,flow,[]
36,ASHTANGA INSPIRED FLOW,,3,ashtanga inspire flow,ashtanga,['flow']
37,Lunar Flow,"In its most basic form, the Vinyasa style of yoga is the marriage of breath and movement - Each breath transitions a new pose, allowing the body a lightness and power as the movement itself becomes meditation. This Vinyasa class veers gentler to help you let go of daily stresses and prepare for a good night’s sleep. Open to all levels!",2,lunar flow,flow,[]
38,Flow & Restore (for beginners),"Find that perfect balance between movement and rest.  Beginning with a flowing vinyasa sequence, participants in this class will generate heat internally.  That is then followed by relaxing restorative poses, which allow you to cool the muscles and recharge your batteries. Your mind, body and soul will be grateful.",5,flow restore for beginners,flow,"['restore', 'foundations']"
39,Chakra Flow,"Chakra Flow is a container for knowing and loving yourself, your innate and beautiful powers and impulses, and your connection to all that is in the fullest way possible. Each class focuses on a different chakra, which we explore through traditional yogic asanas and breathwork, guided meditation and somatic movement exercises, following what feels the best in our individual bodies. In honoring the pleasure principle and all of the wisdom therein we offer ourselves and each other deep, holistic nourishment through which we are able to expand our capacities to let go, become stronger and fuller, and more empathetic to all creatures, life forces, and the world in which we live. Open to all levels.",2,chakra flow,flow,[]
40,Align and Flow,,3,align and flow,flow,[]
41,Mantras & Cupping,"Gentle flow and taste of Bhakti yoga - chanting mantras and long Savasana, with optional 15min cupping session. Cupping is an ancient Oriental medicine technique where small cups are used as suction devices placed on the skin to disperse and break up stagnation and congestion. Open level, everyone is welcome.",3,mantras cup,undefined,[]
42,Unwind & Flow,"Lots of yummy unwinding warm ups, restoratives & therapeutics to release the day.
Creative, investigative alignment based flow, to gain strength & flexibility.
Playful invitations to celebrate life in a body and have fun!
Breath, sound, & meditation practices included.
Carefully crafted Music playlists.",3,unwind flow,flow,[]
43,Cacao Flow,"Join us for a practice in the celebration of the love medicine: Cacao. It is chocolate, in it's purest form.
Through a ceremonial yoga experience combining ancient traditions in a contemporary way. Creating a safe container to share the multidimensional layers of our being in a collective adventure.
Once our hearts are wide open, movement and breath are introduced through a Vinyasa flow. Finding the comfort in the expansion of the soul manifested through the body. The experience is finished with shavasana in a journey of Sound. Open to all levels.",2,cacao flow,flow,[]
44,Candlelight Slow Flow,Wind down your evening down with a soothing Candlelit Slow Flow class. This class links flowing poses and sequences to the breath with a mindful approach. Chill music and the glow of candles help you melt into your practice.,3,candlelight slow flow,flow,[]
45,Candlelight Flow,Enjoy this relaxing Flow and Restore class with candles and good vibes! Allow yourself to move through a nice sequence to get the blood flowing and allow your mind to relax. Gear up for a nice long cool down and restorative stretches to end the week.,2,candlelight flow,flow,[]
46,Candlelit Lunar Flow,"This dimly lit class is the perfect way to decompress from a typical New York day. A sweet, smooth flow accompanied by live music, a transcendent experience. Open to all levels.",3,candlelit lunar flow,flow,[]
47,Candlelit Slow Flow,"Magical, dreamy, luxurious. Our late evening classes begin with slow and steady movement linked to breath, and settle in for a truly relaxing and restorative wind down. The perfect transition between your more active part of the day and night time rituals. Prepare by bringing your mat and something cozy to savasana in.
Note: you'll likely float out of class on a cloud of bliss, so remember to grab your water bottle and mat on your way out the door!
All levels, all bodies, all spirits welcome.",3,candlelit slow flow,flow,[]
48,SOUK Align & Flow (75min),"Suited for practitioners of all ages and levels of practice, this class is a great opportunity to learn how alignment improves range of motion and flexibility. The class alternates from supine to standing and seated postures, giving the practitioner different vantage points from which to relate to the dynamics of a pose.
With a greater understanding of your body in a posture, you will experience increased confidence and courage. This is a foundational class that offers an invigorating workout geared towards beginners and seasoned practitioners alike.",5,souk align flow 75min,flow,[]
49,OPEN FLOW {YOGA},"Midday slump happens. Literally. Open Flow is the antidote... Sitting at your desk too long or typing away at the coffee shop? That’s when stress sneaks into the neck, shoulders, and upper back, your posture rounds, and breath becomes shallow—often leaving you exhausted by 3pm. Join US for a rejuvenating sesh that realigns the spine, opens cramped hips, and mobilizes stiff joints. Carefully chosen poses will nourish your musculoskeletal body (bye bye “social media neck”) and increase blood flow to restore “chi”—life force energy. And since healthy breathing is key for maintaining balanced energy, we’ll incorporate breathwork to restore concentration and kick stress to the curb. You’ll head back to work inspired and in the zone. Employee of the month anyone?",3,open flow yoga,flow,['yoga']
50,Sunrise Flow,"Rise and shine with our signature Sunrise Flow. Expect to warm up the body, get your heart pumping, and ease into a restful savasana to prepare you for a peaceful day. All you have to do is set your alarm and make it here - let us do the rest! Sunrise Flow is all levels and set to music.",2,sunrise flow,flow,[]
51,"Core, Balance and Connection Heated Flow","This class is designed to balance your physical fitness, while creating mindfulness, and awareness. It incorporates strength, flexibility, balance, power, endurance, agility meditation and coordination. Room is 80 to 90 degrees. Encouraged if your looking for a challenge, all levels welcomed.",6,core balance and connection heat flow,hot yoga / bikram,['flow']
52,Core Flow,"A challenging Vinyasa class that blends core strengthening exercises and yoga. This core focused flow class is an opportunity to build strength in a yoga setting. You can expect the sequencing to incorporate many blocks of  strengthening throughout. While the core work progresses and becomes more challenging throughout, the asana practice utilizes the engaged muscle groups or works to counter and open up what was working. Core Flow is a great class to assist in building the strength required for the progression of your more advanced Vinyasa practice. It is recommended that you have previous experience practicing Vinyasa.",2,core flow,flow,[]
53,Modo Flow,"A vinyasa based class where the postures are linked with breath creating a fluid, beautiful and meditative practice. The three Modo Flow sequences are designed to increase flexibility, strengthen and tone the muscles and challenge the cardiovascular system. ",2,modo flow,flow,[]
54,Freestyle Flow,"A challenging and innovative vinyasa flow class inspired by our senior Modo teachers. Each class has its unique and creative focus rooted in intelligent vinyasa sequencing. This is a creative and dynamic practice that integrates breath, movement, strength, flexibility and balance while challenging the cardiovascular system. Although Freestyle Flow classes might introduce some more advanced postures, it remains accessible to all.",2,freestyle flow,flow,[]
55,Modo + Modo Flow Love,"An accessible community class hosted M-F in both locations at 2pm. Classes are either Modo or Modo Flow, making them accessible to all levels and are only $15! Use the “Karma Love” credit at checkout to book your $15 class.",5,modo modo flow love,flow,[]
56,Dynamic Flow,"To move dynamically is to evoke the force of change - To use movement as a form of self expression and self exploration is to remain curious to an ever evolving life force within the body and yourself. This Vinyasa-style class moves gracefully through poses, balancing out, opening up and turning upside down with a heavy focus on fluid awareness. This is an intermediate class and prior yoga experience is recommended. ",2,dynamic flow,flow,[]
57,Slow Flow,"Slow Flow is a perfect way to slow your day and calm your energies. The class starts with a gentle, pleasing vinyasa flow and ends with extended Shavasana, providing space for deep rest - physical, emotional and mental.",2,slow flow,flow,[]
58,Dynamic Mobility Flow (Open Level) - (Budokon/Mobility/Yoga),"Dynamic Mobility Flow (Open Level) - (Budokon/Mobility/Yoga) This class focuses on flexibility and body expression through yoga poses as well as joint mobility drills. Inspired by Budokon yoga, mixed martial arts drills, and animal locomotive and functional movement techniques. Come ready to play; be fearless and open minded!",7,dynamic mobility flow open level budokon mobility yoga,flow,['yoga']
59,Evening Flow,"New to the Atmananda Yoga Sequence? Start with our beginner class and skip the advanced poses. This class will open and refresh your body with seven groups of asanas while protecting the body through proper alignment. Start with sun salutations to warm up, going through various hip openers to release tension, forward bends to fire digestion, backbends to open the heart, arm balances to tone and strengthen the body, and inversions to reverse gravity. The movement begins with the breath bringing awareness to our body’s vital energy, Prana. Health is wealth; a consistent practice focused on proper alignment is our method.",2,even flow,flow,[]
60,Soul Flow,"Our flow sequence places an emphasis on core strength and the alignment of one breath, one movement. This style is a mix of faster-paced sequences with Sun Salutations to link the postures. You will also experience our sui signature short somatic release moves.",2,soul flow,flow,[]
61,Wild Flow,"A higher-intensity freestyle flow, comprised of challenging and dynamic sequences with a stronger focus on core and strength, building up to a peak pose. This is one of our utmost strenuous offerings.",2,wild flow,flow,[]
62,Soul Flow,"Inspired by the principles of Hatha Yoga–moving your body slowly through different poses that challenge your strength, balance and flexibility, while at the same time focusing on relaxation and mindfulness– Our signature foundational practice, places an emphasis on core strength and the alignment of breath with movement. Expect a mix of slower-paced sequences with intentional holds and short somatic release moves.",2,soul flow,flow,[]
63,Kind Flow,Our Pay-As-You-Wish accessible offering is a carefully sequenced open-level practice for everyone. Suggested donation starting at $15.,2,kind flow,flow,[]
64,Joyflow,"Experience this intuitive movement practice that leads you to your own joy. A grounding, gentle flow that builds to intuitive and ecstatic movement. It closes with a sound meditation to fully drop in. A guided playful journey to experience freedom and joy in your body. Join in with an open mind, leave with an open heart! 
This is a blend of yoga, music, dance and breath.",1,joyflow,joyflow,[]
65,Flow,"Your go to yoga flow. Yogamaya Flow gives you heat-building movement and soulful inner stillness. Our signature vinyasa flow class are a perfect balance of movement, attention to detail and body/spirit exploration guided by our expert instructors.
Programmed for Level 2 and up (you have an understanding of the basic poses and transitional movements of a Vinyasa class).
Get your daily dose of exactly what you need.",1,flow,flow,[]
66,Flow Yoga,"A mix of hatha yoga, vinyasa yoga and ashtanga vinyasa that focuses on the connection between breath, movement, and the mind. In this Vinyasa flow class, we’ll start by warming up our bodies, focusing on breath and alignment, gradually exploring different postures through a creative sequence, which will help build strength as well as increase mind and body awareness. Open to all levels as there will be modifications for each pose throughout the sequence.",2,flow yoga,flow,['yoga']
67,Tangerine flow,"An all-levels vinyasa flow class that emphasizes breath, structure and alignment. students are encouraged to try various teachers, as each designs their classes based on their individual style and unique background.
This class is heated to 90 degrees.",2,tangerine flow,flow,[]
