,class_name,class_description,class_style,additional_class_style_info,word_count,unique_word_count,cleaned_text,Balance and Alignment,Stress Relief/Breath Techniques,Deep Relaxation/Mind Practice,Stretch and Release,Core and Strength,dominant_topic,dominant_topic_theme
10,Beginner’s Yoga,"Whether you’re looking to learn the basics, or are a seasoned yogi seeking a refresher, welcome to Daya! Practice the foundation of all poses, link your movement with breath, and discover proper alignment to receive the full benefits of a healthy yoga practice. Open to all levels!",yoga,,47,38,whether look basics season yogi seek refresher daya foundation link breath discover proper alignment receive full benefit healthy,0.5426208,0.028572813,0.37046346,0.029395854,0.028947107,0,Balance and Alignment
11,Yoga Fundamentals,"Yoga Fundamentals will break down some of the most common postures (asanas) and remind us how to correctly embody them while understanding benefits of the posture.
",yoga,,26,24,fundamentals break common asanas remind us correctly embody understand benefit,0.04407965,0.040167615,0.8340422,0.041538984,0.04017158,2,Deep Relaxation/Mind Practice
12,Basics class,This class will explore the foundational building blocks of yoga postures. We will move at a slower and more methodical pace than in our all-levels classes. Great for beginners!,yoga,,29,28,explore foundational build block slower methodical pace great beginners,0.022928666,0.022375826,0.022246331,0.9099993,0.02244984,3,Stretch and Release
13,FUNDAMENTALS OF YOGA,"A yoga 101 workshop style course geared for students new to yoga, but all levels are welcome to these classes, which focus on the fundamentals of yoga asana. The course is divided into 4 sections: week 1 standing asanas, week 2 forward fold asanas, week 3 back bending asanas, and week 4 putting it together.  Over a 4-week period the student will learn to pay special attention to yoga asana alignment, the use of yoga props and helpful tips according to the Urban Sadhu Yoga Method. These are the tools that will form a solid yoga practice for students through their entire lives!!",yoga,,103,77,101 workshop course gear focus fundamentals course divide 4 section week 1 stand asanas week 2 forward fold asanas week 3 back bend asanas week 4 put together 4 week period pay special attention alignment use prop helpful tip accord urban sadhu method tool form solid entire live,0.2639737,0.009354675,0.7075528,0.009530932,0.009587925,2,Deep Relaxation/Mind Practice
14,Yoga Foundations,"Learn what all the hype is about! This class is devoted to the newcomer who wants to build their practice from the ground up. Students will explore breath practices, standing sequences, seated poses, and an introduction to backbends. This class is ideal for those who are new to yoga or for anyone who wants to brush up on the basics.",yoga,,60,45,hype devote newcomer want build grind explore breath stand sequence seat introduction backbends ideal want brush basics,0.26837495,0.1372597,0.022670355,0.54918176,0.022513235,3,Stretch and Release
15,Foundations,"No previous experience is necessary for this lovely class that exposes new and experienced yogis alike to the beauty that is yoga. This basic, foundational class focusses on breath, postures, and alignment. Appropriate for those looking to dip their toes into yoga for the first time, as well as those with experience who are looking to deepen their practice by going back to the basics. You can’t go wrong no matter where you are on your yoga journey.",yoga,,78,59,previous experience necessary lovely expose experience yogis alike beauty basic foundational focus breath alignment appropriate look dip toe first well experience look deepen back basics wrong matter journey,0.5925831,0.013812811,0.013412928,0.36677933,0.013411766,0,Balance and Alignment
16,FOUNDATION HUM,"Discover the fundamentals and learn within a supportive environment.
This practice will provide a well-rounded offering that is both educational and exploratory. Offering fundamental instruction, the teacher will lead students through rudimentary sequences, breath-work and meditation techniques that allow for curious practice. Expect posture breakdowns and explanation of accompanying movement. No prior yoga experience is required. Beginners welcome. 
All classes are guided alongside our curated “Hum”, a soundscape designed to enhance focus, and will conclude with a soothing sound bath. Heated at 80 degrees.",yoga,,84,72,discover fundamentals within supportive environment well round educational exploratory fundamental instruction lead rudimentary sequence breath techniques allow curious expect breakdowns explanation accompany prior experience require beginners guide alongside curated hum soundscape design enhance focus conclude soothe sound bath heat 80 degrees,0.7093991,0.14973348,0.11959431,0.010671741,0.010601347,0,Balance and Alignment
17,Absolute Beginners,Our semi-private or small group series with master teacher Gina is absolutely great for beginners or wanting to go revisit the fundamentals.,yoga,,22,21,semi private small group master gina absolutely great beginners want revisit fundamentals,0.04094585,0.040066652,0.04000257,0.63517284,0.24381208,3,Stretch and Release
18,BEGINNERS YOGA,"This class is specially designed for those entirely new to yoga, the perfect class to introduce you to yoga, come and join us! Open to all levels.

Tune-up Chaturangas, align your Warriors or just get your breath flowing right.",yoga,,39,33,specially design entirely perfect introduce come join us tune chaturangas align warriors breath right,0.3707158,0.029373262,0.542179,0.028898658,0.028833315,2,Deep Relaxation/Mind Practice
19,Bikram yoga,"Bikram yoga is a 26 posture series with two breathing exercises performed inside a 105-degree room with 40% humidity. Bikram yoga may sound intimidating- don’t let that stop you from getting down to it! The postures are specifically designed for beginners and people of different shapes and sizes! It is a great class for everyone who wants to lose weight and at the same time gain muscle strength and increase bone density. The overwhelming heat and humidity completely submerges you into mental stillness, leaving you feeling calm, steady, and optimistic after class. Bikram yoga is highly recommended for people with back, neck, and shoulder pain, knee injuries, and other health issues. As you observe the people who come to a typical Bikram class, you will see people who have been practicing for a few months and people who have been practicing for a few decades. A consistent Bikram practice has the power for individuals to learn discipline, resilience, and patience. So let’s get sweaty!",hot yoga / bikram,,164,114,26 two breathe perform inside 105 40 humidity sound intimidate let stop specifically design beginners different shape size great everyone want lose weight gain muscle strength increase bone density overwhelm heat humidity completely submerge mental stillness leave feel calm steady optimistic highly recommend back neck shoulder pain knee injuries health issue observe come typical see months decades consistent power individuals discipline resilience patience let sweaty,0.14794154,0.008691135,0.008602388,0.2850953,0.5496696,4,Core and Strength
20,Bikram Beats,"Bikram Beats is the usual 26 postures and two breathing exercises, but instead of the traditional dialog, it is accompanied by chill beats that will tune you into each pose. Rather than verbal instruction, the class is formatted by following the teacher’s lead; the teacher only cues you in and out of the postures. This is not your standard Bikram Yoga class, as you get a chance to practice side-by-side with an experienced teacher and listen to some groovy tunes! From Rock n’ Roll, cross-cultural genres, house, and classical music, our diverse yoga mixtape is catered to every individual’s taste in music. Due to limited instruction, the class is only recommended for people familiar with the sequence- but beginners are never turned away!",hot yoga / bikram,,123,93,beat usual 26 two breathe instead traditional dialog accompany chill beat tune rather verbal instruction format follow lead cue standard chance side side experience listen groovy tune rock n roll cross cultural genres house classical music diverse mixtape cater individual taste music due limit instruction recommend familiar sequence beginners never turn away,0.17709759,0.64799404,0.14085083,0.016935593,0.01712197,1,Stress Relief/Breath Techniques
21,Bikram Yoga,"People come to Bikram Hot Yoga classes for more than just fitness. Bikram Yoga offers health, wellness, restoration and relaxation. Expect to sweat a lot and love the results of this practice! Sign up for Bikram Yoga classes at One Yoga NYC Studio. Our experienced teachers will guide you through the physical and mindfulness aspects of this invigorating practice.
What Is Bikram Yoga?
This practice is named after its founder, Bikram Chowdhury, who has practiced yoga since childhood in India. While recovering from a serious injury, he noticed that doing yoga in a heated room amplified the results of the practice. After moving to the US, Bikram Choudhury opened his own school, which quickly gained popularity and many followers around the world.
Features
Bikram Yoga (also called ORIGINAL HOT YOGA) is practiced in a hot room, heated to 105° F with 40% humidity. The 90-minute practice consists of 26 asanas and 2 breathing exercises, allowing you to work every muscle, tendon, ligament, joint and internal organ in the entire body.
Bikram Yoga is suitable for both experienced yogis and beginners of any age. For classes you will need a mat, comfortable sportswear that does not restrict movement, and a couple of towels.
Benefits
Bikram Hot Yoga transforms your mind and body. Here are some of the potential benefits:
weight loss – expect to burn 500-1000 calories per class
increased strength and flexibility
increased immunity
cleansing from toxins
strengthening cardiovascular system
relieving stress and anxiety
Everyone can enjoy this challenging practice, as long as you listen to your body!",hot yoga / bikram,,258,181,come fitness health wellness restoration relaxation expect sweat lot love result sign studio experience guide physical mindfulness aspects invigorate name founder chowdhury since childhood india recover serious injury notice heat amplify result us choudhury school quickly gain popularity followers around world feature call original heat 105 f 40 humidity 90 consist 26 asanas 2 breathe allow muscle tendon ligament joint internal organ entire body suitable experience yogis beginners age need mat comfortable sportswear restrict couple towel benefit transform mind body potential benefit weight loss expect burn 500 1000 calories per increase strength flexibility increase immunity cleanse toxins strengthen cardiovascular relieve stress anxiety everyone enjoy challenge long listen body,0.16492268,0.09925096,0.15431936,0.057522967,0.5239841,4,Core and Strength
22,Hypno-Breathwork,"Hypno-Breathwork is a method used to clear energetic patterns through traditional breathwork, hypnotic affirmations to reprogram subconscious beliefs, and stimulating new neural pathways for to promote sustainable behavioral change. In applying ourselves to this practice we transform our bodies hearts and minds - In each class we will work through different blockages as a means to gain clarity, access inner wisdom, tap into our creativity and take soul-aligned actions to bring our greater visions to life.
Avoid heavy eating at least one hour before class, and bring a pen and paper/notebook for better integration into the session. Eye-coverage is encouraged, though optional.",breathwork / pranayama,,102,81,hypno breathwork method use clear energetic pattern traditional breathwork hypnotic affirmations reprogram subconscious beliefs stimulate neural pathways promote sustainable behavioral change apply transform body hearts mind different blockages mean gain clarity access inner wisdom tap creativity soul align action bring greater visions life avoid heavy eat least hour bring pen paper notebook better integration session eye coverage encourage though optional,0.014190421,0.013952473,0.0136408955,0.013482129,0.9447341,4,Core and Strength
23,Breathwork,"BREATHWORK IS SAID TO BE THE FOUNDATION OF
TRUE PROGRESS IN THE MIND-BODY PRACTICE,
AFFECTING EVERY ASPECT OF OUR BEING.
Our unique system of breathing postures can add transformative power and depth to your mind-body practice by helping you learn to accumulate energy.
BENEFITS OF BREATHWORK
Breathwork is an essential element of all Body & Brain classes. By managing your breath, you can accumulate energy, stimulate your body's natural ability to restore and recharge, and increase your powers of concentration and awareness. The benefits of breathwork will extend beyond the classroom to help improve your day and even how you sleep at night.
BREATHWORK WILL ENHANCE
YOUR MIND-BODY PRACTICE
1 Improving your digestion.
2 Helping to balance your emotions and thinking.
3 Feeling more comfortable and relaxed.
4 Increasing your endurance, flexibility and strength.
5 Developing your core energy.",breathwork / pranayama,,139,106,breathwork say foundation true progress mind body affect aspect unique breathe add transformative power depth mind body help accumulate energy benefit breathwork breathwork essential element body brain manage breath accumulate energy stimulate body natural ability restore recharge increase power concentration awareness benefit breathwork extend beyond classroom help improve sleep night breathwork enhance mind body 1 improve digestion 2 help balance emotions think 3 feel comfortable relax 4 increase endurance flexibility strength 5 develop core energy,0.005384568,0.0053449646,0.1614313,0.0053313896,0.8225078,4,Core and Strength
24,Release Breathwork,"Experience a unique healing journey combining powerful entheogenic breathing techniques with biodynamic movement and lively music.
This integrated breathwork practice combines multiple traditions of breath awareness (pranayama, teomania, holotropic, Wim Hof), with deep intention work to use the power of your breath and awareness to shift into altered, or psychedelic states of consciousness. 
Our practice will oxygenate the body and activate different areas of the brain to clear suppressed emotions, move through stagnant energy, and influence creative productivity. This breathwork journey brings attention and intention to our innate creative energy helping us to relax the body, remember our power, and revive our personal potential.",breathwork / pranayama,,104,78,experience unique heal journey combine powerful entheogenic breathe techniques biodynamic lively music integrate breathwork combine multiple traditions breath awareness teomania holotropic wim hof deep intention use power breath awareness shift alter psychedelic state consciousness oxygenate body activate different areas brain clear suppress emotions stagnant energy influence creative productivity breathwork journey bring attention intention innate creative energy help us relax body remember power revive personal potential,0.006588967,0.2175245,0.49077433,0.0065255193,0.2785867,2,Deep Relaxation/Mind Practice
25,Breathwork,"Designed for biohackers and those exploring alternative states of consciousness, this breathwork class will take you on a journey of self-discovery, tapping into the deepest parts of yourself and accessing a higher state of consciousness using a powerful combination of ancient shamanic wisdom and cutting-edge breathing techniques.

In this dynamic class, you will learn to use your breath as a tool for biohacking and optimizing your physical and mental performance. By increasing your oxygen intake and activating your body's natural healing processes, you will experience improved circulation, enhanced mental clarity, and a boost to your immune system.

But this class is not just about physical optimization. Through the use of shamanic rhythms and psychedelic soundscapes, you will also explore alternative states of consciousness, accessing the wisdom of the ancestral spirits and connecting with the natural world in a profound and meaningful way.

This class is perfect for anyone seeking to push their limits and explore the edges of human potential. Whether you're a biohacker looking for cutting-edge tools to optimize your health and performance, or someone interested in exploring altered states of consciousness, we will guide you on an unforgettable journey of self-discovery and transformation.

So come prepared to push your limits, explore the depths of your being, and unlock the full potential of your mind and body in this breathwork journey.",breathwork / pranayama,,222,132,design biohackers explore alternative state consciousness breathwork journey self discovery tap deepest part access higher state consciousness use powerful combination ancient shamanic wisdom cut edge breathe techniques dynamic use breath tool biohacking optimize physical mental performance increase oxygen intake activate body natural heal process experience improve circulation enhance mental clarity boost immune physical optimization use shamanic rhythms psychedelic soundscapes explore alternative state consciousness access wisdom ancestral spirit connect natural world profound meaningful way perfect seek push limit explore edge human potential whether biohacker look cut edge tool optimize health performance someone interest explore alter state consciousness guide unforgettable journey self discovery transformation come prepare push limit explore depths unlock full potential mind body breathwork journey,0.18518311,0.41553098,0.16673748,0.004264785,0.22828369,1,Stress Relief/Breath Techniques
26,Deep Stretch Yoga & Breathwork,"Deep Stretch Yoga & Breathwork focuses predominantly on stretching and releasing tight muscles and tendons, in order to take strain off of the skeletal system. Supporting the practice, breathwork serves to provide mind awareness and serenity. ",yoga,breathwork / pranayama,36,32,deep stretch breathwork focus predominantly stretch release tight muscle tendons order strain skeletal support breathwork serve mind awareness serenity,0.016882483,0.016785797,0.28616357,0.44682157,0.23334655,3,Stretch and Release
27,OUTDOOR COMMUNITY YOGA CLASSES IN CENTRAL PARK,"Join your neighbors to find some stillness in the city that is always bustling. Find your breath. Flow. Feel your feet on the Earth and connect to your inner child. Feel the warmth on your cheeks and connect to the sun’s life giving energy. By focusing on the body, breath and mind, we create a connection to ourselves - By doing this outdoors, we create a connection to the Earth - By doing this with our neighbors, we create a connection to one another. ",yoga,community,84,50,join neighbor find stillness city always bustle find breath feel feet earth connect inner child feel warmth cheek connect sun life give energy focus body breath mind create connection outdoors create connection earth neighbor create connection another,0.008797741,0.33220106,0.46475253,0.008924035,0.18532464,2,Deep Relaxation/Mind Practice
28,COMMUNITY CLASS- LEVEL 1,"Community Class is the perfect chance to practice in a non-competitive, open environment while supporting our new teachers that have just graduated from 200 Teacher Training.Please come with an open heart and an open mind and be aware class is taught by very NEW teachers to the craft. Class is by FREE. If you choose, you may offer a donation. Donations go to AYF, Abhaya Yoga Foundation, serving yoga education and service to expand the reach of yoga and teacher training to a more diverse community",yoga,community,86,65,community perfect chance non competitive environment support graduate 200 train please come heart mind aware craft free choose donation donations ayf abhaya foundation serve education service expand reach train diverse community,0.2507374,0.025860325,0.3164238,0.025369562,0.3816089,4,Core and Strength
29,"
Daya Dance","Daya Dance is a space to greet your body and explore its pathways. Through awareness exercises, guided movement, contact improvisation, and elements of yoga, students will be encouraged to experiment and ultimately find joy in their groove! Open to all levels.",other,,41,37,daya dance space greet body explore pathways awareness guide contact improvisation elements encourage experiment ultimately find joy groove,0.8840929,0.029335503,0.029022735,0.02877981,0.028769052,0,Balance and Alignment
30,SEER Dance (women only),"SEER Dance (Sacred Earth Embodied Ritual Dance) is a form based on the sacred roots of Belly Dance, inspired by nature’s elements (earth, water, air and fire) and interwoven with energies, journeying, storytelling, and embodied prayer.
Every class includes a gentle warm up, some technique learning a few core movements within the roots of belly and classical Indian dance, an introduction to four Indian Goddesses and their archetypal qualities, creating our own dance phrases, and a final integrated circle.
During this series we will welcome the archetypal teachings of Parvati, Durga, Saraswati and Lakshmi.
This is a healing and spiritual dance form aimed to bring our body, mind, heart and soul into union - to slow down and connect with our inner world - to tap into our different qualities and unearth our unique essence -  to support and inspire each other with strength, love and compassion.",other,,147,108,seer dance sacred earth embody ritual dance form base sacred root belly dance inspire nature elements earth water air fire interweave energies journey storytelling embody prayer include gentle warm technique core movements within root belly classical indian dance introduction four indian goddesses archetypal qualities create dance phrase final integrate circle archetypal parvati durga saraswati lakshmi heal spiritual dance form aim bring body mind heart soul union slow connect inner world tap different qualities unearth unique essence support inspire strength love compassion,0.007499731,0.23787135,0.31245145,0.007355471,0.43482196,4,Core and Strength
31,Dance Yoga,"MDRNYGA is a dynamic vinyasa class set to an eclectic playlist of alternative rhythmic scores, R&B, rock and folk. This class bridges dancey yoga sequences with mind-body modalities and conditioning. All of the sequences are choreographed and clearly guided similar to a yoga class but with the personality of a dance class. Dancer or not, yogi or not, this is not a traditional dance or yoga class. It is for the athletic and artful minded individual that is looking to creatively expand their practice. This class will open up ones approach to transitions, musicality and flow. This is a matless class. Annie is a Yoga Alliance certified instructor who received her 500 hr training with Nubia Teixeira. She is a performer and master teacher with a deep roots in dance improvisation and technique and somatic methods. Annie founded of the performing arts center, RoCo Dance in 1993 which is located in the Bay Area, California",yoga,dance,155,103,mdrnyga dynamic eclectic playlist alternative rhythmic score r b rock folk bridge dancey sequence mind body modalities condition sequence choreograph clearly guide similar personality dance dancer yogi traditional dance athletic artful mind individual look creatively expand ones approach transition musicality matless annie alliance certify instructor receive 500 hr train nubia teixeira performer master deep root dance improvisation technique somatic methods annie found perform arts center roco dance 1993 locate bay area california,0.014679964,0.014373938,0.7610897,0.11285445,0.09700201,2,Deep Relaxation/Mind Practice
32,Dharma Yoga,"Created by Sri Dharma Mittra, this style of yoga includes a flowing vinyasa sequence, followed by inversions and other asanas that are held longer to improve focus and concentration. Deep relaxation, breathing and meditation exercises create a well-rounded, spiritual practice rooted in the classical Eight Limbs of Yoga.",dharma,,48,43,create sri mittra include sequence follow inversions asanas hold longer improve focus concentration deep relaxation breathe create well round spiritual root classical eight limbs,0.2128735,0.36077386,0.3048249,0.012099617,0.10942817,1,Stress Relief/Breath Techniques
